key,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds,nurses,physicians,health_expenditure,out_of_pocket_health_expenditure
Sierra Leone,54.309,24.8,2.4,78.5,392.26300000000003,353.346,324.1,30.5,,0.2239,,66.40218399999999,33.475037
San Marino,85.41707,,5.9,1.7,,,,,,,,3361.644775,582.70752
Senegal,67.665,8.2,2.4,31.8,216.045,144.704,160.7,18.1,,0.3127,0.0691,55.014038,28.827259
Somalia,57.068000000000005,,5.1,76.6,324.793,269.466,212.8,21.8,,,,,
Suriname,71.57,25.0,12.5,16.9,219.75400000000002,118.443,56.7,21.7,,2.7569,1.2101,339.32797200000005,89.51332099999999
South Sudan,57.604,,10.2,63.7,350.689,300.89799999999997,165.1,19.8,,,,22.888573,4.392962000000001
El Salvador,73.096,9.9,8.8,11.8,268.447,103.29899999999999,41.9,14.0,,1.8344,1.5662,282.491028,82.477356
Syria,71.779,,13.5,14.0,237.292,73.258,75.2,21.8,,1.5406,1.2874,,
Eswatini,59.401,9.0,4.5,43.0,479.936,309.883,137.0,26.7,,4.1415,0.3285,224.736771,23.59005
Chad,53.977,,6.0,71.4,377.60699999999997,335.37800000000004,280.1,23.9,,0.2322,0.0434,29.730864,17.250788
Togo,60.76,7.4,2.4,47.4,277.736,244.396,249.6,23.6,,0.4102,0.0774,38.048714000000004,22.228106
Thailand,76.931,19.9,7.0,7.8,186.85299999999998,77.992,61.5,14.5,,2.7593,0.805,247.03511,27.535921000000002
Tajikistan,70.87899999999999,,6.1,30.4,164.528,96.277,129.3,25.3,,,,57.899853,36.565151
Timor-Leste,69.26,42.6,6.7,39.3,168.862,117.478,139.8,19.9,,1.6680000000000001,0.7224,83.19770799999999,6.942778999999999
Turkmenistan,68.07300000000001,,6.1,39.3,243.687,128.231,79.3,29.5,,,,456.482666,332.127777
Tunisia,76.505,32.7,8.5,14.6,106.66799999999999,67.321,56.1,16.1,2.3,2.5136,1.3025,250.562225,98.020348
Turkey,78.9,27.2,11.1,9.1,119.23700000000001,62.33,46.6,16.1,,2.7107,1.8492,444.653687,77.299492
Trinidad and Tobago,73.38,,11.0,16.4,186.33599999999998,108.616,38.6,21.3,,4.0934,4.1675,1124.091675,447.134827
Tanzania,65.015,14.8,5.7,37.6,249.798,193.172,139.0,17.9,,0.5843,0.013999999999999999,33.916576,8.172585
Ukraine,71.58268299999999,28.9,6.1,7.5,,,70.7,24.7,,,,177.40888999999999,92.81487299999999
Uganda,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,,1.2382,0.168,38.426441,15.013751999999998
United States,78.539024,21.8,10.8,5.6,139.141,81.935,13.3,14.6,,14.548,2.612,10246.138672,1126.349976
Uruguay,77.77,16.8,7.3,6.4,139.322,76.015,17.5,16.7,,1.9412,5.0794,1591.533203,279.305054
Uzbekistan,71.57300000000001,12.6,6.5,19.1,169.704,100.911,81.1,24.5,,,,98.824577,52.803318000000004
Vietnam,75.317,22.8,6.0,16.5,188.583,76.363,64.5,17.1,,1.4463,0.8281,129.575958,58.643409999999996
Vanuatu,70.32300000000001,18.6,11.9,22.3,151.626,102.42,135.6,23.3,,1.4247,0.1653,105.666527,9.468102
Yemen,66.096,18.4,5.4,42.9,219.74900000000002,174.558,194.2,30.6,,0.7852,,72.039467,58.321163
South Africa,63.857,20.3,12.7,28.5,376.404,248.81599999999997,86.7,26.2,,1.3078,0.9054,499.237549,38.775391
Zambia,63.51,13.8,4.5,40.4,321.143,221.57299999999998,127.2,17.9,,1.3376,1.1867,67.648666,8.015779
Zimbabwe,61.195,15.8,1.8,33.9,373.207,337.702,133.0,19.3,,1.9346,0.2096,110.14962,22.715431
