iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
OWID_WRL,,World,2020-02-28,83388.0,1271.0,952.143,2857.0,57.0,87.14299999999999,10.698,0.163,0.122,0.36700000000000005,0.006999999999999999,0.011000000000000001,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-02-29,85248.0,1860.0,1062.857,2921.0,64.0,80.286,10.937000000000001,0.239,0.136,0.375,0.008,0.01,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-03-01,87091.0,1843.0,1181.857,2979.0,58.0,73.714,11.173,0.23600000000000002,0.152,0.382,0.006999999999999999,0.009000000000000001,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-03-02,89159.0,2068.0,1402.5710000000001,3046.0,67.0,61.0,11.437999999999999,0.265,0.18,0.391,0.009000000000000001,0.008,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-03-03,91017.0,1858.0,1554.4289999999999,3118.0,72.0,60.0,11.677,0.23800000000000002,0.19899999999999998,0.4,0.009000000000000001,0.008,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-03-04,93332.0,2315.0,1761.286,3202.0,84.0,62.857,11.974,0.297,0.226,0.41100000000000003,0.011000000000000001,0.008,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-03-05,95689.0,2357.0,1938.8570000000002,3282.0,80.0,68.857,12.276,0.302,0.249,0.42100000000000004,0.01,0.009000000000000001,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-03-06,98749.0,3060.0,2194.429,3384.0,102.0,75.286,12.669,0.39299999999999996,0.282,0.434,0.013000000000000001,0.01,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-03-07,102869.0,4120.0,2517.286,3488.0,104.0,81.0,13.197000000000001,0.529,0.32299999999999995,0.447,0.013000000000000001,0.01,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-03-08,106847.0,3978.0,2822.2859999999996,3585.0,97.0,86.571,13.707,0.51,0.36200000000000004,0.46,0.012,0.011000000000000001,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-03-09,111026.0,4179.0,3123.857,3813.0,228.0,109.571,14.244000000000002,0.536,0.401,0.489,0.028999999999999998,0.013999999999999999,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-03-10,115844.0,4818.0,3546.7140000000004,4022.0,209.0,129.143,14.862,0.618,0.455,0.516,0.027000000000000003,0.017,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-03-11,120962.0,5118.0,3947.143,4294.0,272.0,156.0,15.517999999999999,0.657,0.506,0.551,0.035,0.02,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-03-12,128884.0,7922.0,4742.143,4631.0,337.0,192.71400000000003,16.535,1.016,0.608,0.594,0.043,0.025,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-03-13,138358.0,9474.0,5658.429,4981.0,350.0,228.143,17.75,1.215,0.726,0.639,0.045,0.028999999999999998,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-03-14,148813.0,10455.0,6563.429,5424.0,443.0,276.57099999999997,19.090999999999998,1.341,0.8420000000000001,0.696,0.057,0.035,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-03-15,161013.0,12200.0,7738.0,5791.0,367.0,315.143,20.656,1.565,0.993,0.743,0.047,0.04,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
OWID_WRL,,World,2020-03-16,173492.0,12479.0,8923.714,6542.0,751.0,389.85699999999997,22.256999999999998,1.601,1.145,0.8390000000000001,0.096,0.05,,,,,,,,,,,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,
